,_time,chainName,activeValidators,apr,blockHeight,blockTime,bondedTokens,communityTokens,inflation,jailedValidators,supplyTokens,totalValidators,tps,txs
31,2023-01-23 15:00:00+00:00,cosmos,175,0.210355065,13782890,6.7148181,203342000000000.0,1806240000000.0,0.145978783,325,325573000000000.0,500,0.286701814,29010049
32,2023-01-23 16:00:00+00:00,cosmos,175,0.210370501,13783408,6.7127132,203342000000000.0,1806830000000.0,0.145987152,325,325578000000000.0,500,0.28753075,29011549
33,2023-01-23 17:00:00+00:00,cosmos,175,0.210373587,13783939,6.7143215,203355000000000.0,1807420000000.0,0.145995687,325,325584000000000.0,500,0.47297666,29013038
34,2023-01-23 18:00:00+00:00,cosmos,175,0.210389093,13784477,6.7108263,203355000000000.0,1808020000000.0,0.146004115,325,325590000000000.0,500,0.494378731,29014630
35,2023-01-23 19:00:00+00:00,cosmos,175,0.210419079,13785035,6.7061325,203342000000000.0,1808610000000.0,0.146012543,325,325596000000000.0,500,0.318836883,29016269
36,2023-01-23 20:00:00+00:00,cosmos,175,0.210448046,13785556,6.7068339,203329000000000.0,1809190000000.0,0.146020922,325,325602000000000.0,500,0.632179756,29017892
37,2023-01-23 21:00:00+00:00,cosmos,175,0.210461758,13786086,6.7070289,203331000000000.0,1809780000000.0,0.146029291,325,325608000000000.0,500,0.381626422,29019444
38,2023-01-23 22:00:00+00:00,cosmos,175,0.210460795,13786626,6.7024933,203345000000000.0,1810270000000.0,0.146036321,325,325613000000000.0,500,0.657839251,29021239
39,2023-01-23 23:00:00+00:00,cosmos,175,0.210438189,13787164,6.6971199,203383000000000.0,1810880000000.0,0.146044977,325,325619000000000.0,500,0.545209821,29023003
40,2023-01-24 00:00:00+00:00,cosmos,175,0.210482712,13787706,6.6984416,203356000000000.0,1811500000000.0,0.146053831,325,325625000000000.0,500,0.531612619,29024703
41,2023-01-24 01:00:00+00:00,cosmos,175,0.210487803,13788270,6.6957194,203366000000000.0,1812090000000.0,0.146062237,325,325631000000000.0,500,0.363670862,29026518
42,2023-01-24 02:00:00+00:00,cosmos,175,0.210497789,13788805,6.6956269,203372000000000.0,1812680000000.0,0.146070581,325,325637000000000.0,500,0.39727943,29028190
43,2023-01-24 03:00:00+00:00,cosmos,175,0.210505047,13789343,6.6980298,203380000000000.0,1813270000000.0,0.146078947,325,325643000000000.0,500,0.825191444,29030095
44,2023-01-24 04:00:00+00:00,cosmos,175,0.210511003,13789879,6.69994,203390000000000.0,1813850000000.0,0.146087351,325,325649000000000.0,500,0.494510929,29032032
45,2023-01-24 05:00:00+00:00,cosmos,175,0.210511761,13790415,6.7011377,203405000000000.0,1814440000000.0,0.146095742,325,325654000000000.0,500,0.71991987,29034127
46,2023-01-24 06:00:00+00:00,cosmos,175,0.210523461,13790957,6.6998891,203409000000000.0,1815040000000.0,0.146104165,325,325660000000000.0,500,0.529450695,29035864
47,2023-01-24 07:00:00+00:00,cosmos,175,0.210537189,13791502,6.6960804,203411000000000.0,1815640000000.0,0.146112681,325,325666000000000.0,500,0.337799797,29037553
48,2023-01-24 08:00:00+00:00,cosmos,175,0.210551409,13792046,6.6925929,203413000000000.0,1816230000000.0,0.146121137,325,325672000000000.0,500,0.474871389,29039088
49,2023-01-24 09:00:00+00:00,cosmos,175,0.210563637,13792578,6.6922359,203416000000000.0,1816820000000.0,0.146129516,325,325678000000000.0,500,0.395519554,29040389
50,2023-01-24 10:00:00+00:00,cosmos,175,0.210577949,13793122,6.6885412,203418000000000.0,1817410000000.0,0.146137972,325,325684000000000.0,500,0.307277352,29041891
51,2023-01-24 11:00:00+00:00,cosmos,175,0.210547915,13793663,6.6841123,203462000000000.0,1818010000000.0,0.146146407,325,325690000000000.0,500,0.538736923,29043162
52,2023-01-24 12:00:00+00:00,cosmos,175,0.210557595,13794200,6.6848164,203468000000000.0,1818600000000.0,0.146154763,325,325696000000000.0,500,0.295010846,29044489
53,2023-01-24 13:00:00+00:00,cosmos,175,0.21057568,13794744,6.6811613,203466000000000.0,1819190000000.0,0.146163258,325,325702000000000.0,500,0.239360429,29045858
54,2023-01-24 14:00:00+00:00,cosmos,175,0.210593,13795285,6.6806772,203465000000000.0,1819790000000.0,0.146171664,325,325708000000000.0,500,0.479419218,29046985
55,2023-01-24 15:00:00+00:00,cosmos,175,0.210602532,13795823,6.6790506,203471000000000.0,1820380000000.0,0.14618004,325,325714000000000.0,500,0.271651471,29048068
56,2023-01-24 16:00:00+00:00,cosmos,175,0.210612072,13796361,6.6763977,203477000000000.0,1820970000000.0,0.146188399,325,325720000000000.0,500,0.277662085,29049377
57,2023-01-24 17:00:00+00:00,cosmos,175,0.210608339,13796904,6.6771308,203497000000000.0,1821560000000.0,0.146196879,325,325726000000000.0,500,0.506016857,29050936
