moduleType,moduleName,count,mean,std,min,25%,50%,75%,max,,,,,,,,,
MODULE,gov,2298,930668978.4,448760250.2,12000,510079400,954385200,1253417480,2002673281,,,,,,,,,
EXCHANGE,Upbit #04 (old),2484,1741024053,0,1741024053,1741024053,1741024053,1741024053,1741024053,,,,,,,,,
EXCHANGE,Bithumb #04,103,1033996374,0,1033996374,1033996374,1033996374,1033996374,1033996374,,,,MODULE,bonded_tokens_pool,,,,
EXCHANGE,Upbit #17 (Staking),2484,5350025.362,20064731.86,4907500,4929000,4949000,4966500,1004968000,,,,EXCHANGE,Binance #04 (Staking),,,,
EXCHANGE,Upbit #20 (Staking),2484,5766076.49,28369522.24,4939500,4949000,4962000,4973500,1004961500,,,,MODULE,distribution,,,,
EXCHANGE,Upbit #06 (old),2484,753183323,0,753183323,753183323,753183323,753183323,753183323,,,,MODULE,not_bonded_tokens_pool,,,,
EXCHANGE,Digfinex #01 (Deposit),2484,523783101.4,107352331.6,431149324,431155124,442383957,656455798,658976098,,,,FOUNDER,Interchain Foundation #01,,,,
EXCHANGE,Upbit #10 (Validator),2484,257443446.5,145249357.7,15320771,111490170,309025178,365127523,489025427,,,,EXCHANGE,Kraken #01,,,,
EXCHANGE,Binance #05 (old),2484,102291766,0,102291766,102291766,102291766,102291766,102291766,,,,FOUNDER,Interchain Foundation #02,,,,
EXCHANGE,AscendEX #01,1300,22030092,0,22030092,22030092,22030092,22030092,22030092,,,,FOUNDER,Ignite,,,,
PERSONAL,DokiaCapital #01 (Validator),2484,7346003.578,6107887.441,10048,14382,12234812,12458095,12656606,,,,EXCHANGE,OKK #01,,,,
MODULE,fee_collector,2239,2755563.266,4797847.587,43,6316.5,13250,71529.5,11402356,,,,EXCHANGE,Binance #03 (Withdraw),,,,
EXCHANGE,Coinbase #05,2484,1072430.627,2310161.121,847,173572,517817,861034,10000847,,,,EXCHANGE,Coinbase #08,,,,
EXCHANGE,Digfinex #02,327,1017851.985,455227.3393,249900,999900,999900,999900,6954300,,,,EXCHANGE,Coinbase #01,,,,
EXCHANGE,Upbit #13 (Staking),2484,4971801.127,9937.617683,4953000,4961000,4977500,4979500,4982000,,,,EXCHANGE,Coinbase #06,,,,
EXCHANGE,Upbit #16 (Staking),2484,4965665.66,13624.96171,4936000,4953000,4966500,4979500,4982000,,,,EXCHANGE,Bithumb #03,,,,
EXCHANGE,Upbit #11 (Staking),2484,4947111.111,20684.93719,4913500,4927000,4947750,4968500,4975500,,,,EXCHANGE,Coinbase #03,,,,
EXCHANGE,Upbit #19 (Staking),2484,4958310.185,14247.07546,4929000,4947000,4959000,4973000,4975000,,,,EXCHANGE,Bithumb #02 (Withdraw),,,,
FOUNDER,All in Bits,2484,310129,0,310129,310129,310129,310129,310129,,,,PERSONAL,DokiaCapital #02 (Validator),,,,
EXCHANGE,Upbit #03,2484,61983,0,61983,61983,61983,61983,61983,,,,EXCHANGE,Bithumb #05,,,,
EXCHANGE,Upbit #05 (old),2484,27967,0,27967,27967,27967,27967,27967,,,,EXCHANGE,MEXC #01 (Deposit),,,,
