chainName,fig1,fig2,corr,p_values
cosmos,communityTokens,apr,-0.5587233715711651,1.3447726319792942e-201
cosmos,communityTokens,bondedTokens,0.8964684683671605,0.0
cosmos,communityTokens,inflation,0.5136670233673201,2.12472527996498e-165
cosmos,communityTokens,capBTC,-0.7016375116673907,0.0
cosmos,communityTokens,priceBTC,-0.7016325485260247,0.0
cosmos,inflation,cap,-0.6891489328517464,0.0
cosmos,inflation,high24h,-0.6923868631475245,0.0
cosmos,inflation,low24h,-0.6882309653312335,0.0
cosmos,inflation,price,-0.6886723175825805,0.0
cosmos,inflation,priceChangePercentage30D,-0.6449313018935098,9.134039492133e-289
cosmos,inflation,blockTime,-0.5555835489530959,6.818306557703e-199
cosmos,inflation,bondedTokens,0.5444330072281516,1.6228900590124398e-189
cosmos,inflation,communityTokens,0.5136670233673201,2.12472527996498e-165
cosmos,inflation,capBTC,-0.7729017292842144,0.0
cosmos,inflation,priceBTC,-0.7729184402413877,0.0
cosmos,capBTC,cap,0.8519995502845156,0.0
cosmos,capBTC,high24h,0.8564497076864148,0.0
cosmos,capBTC,low24h,0.8392524579836652,0.0
cosmos,capBTC,price,0.8516412033819033,0.0
cosmos,capBTC,priceChangePercentage30D,0.5890086842459795,3.0458148193850654e-229
cosmos,capBTC,bondedTokens,-0.7837066179682768,0.0
cosmos,capBTC,communityTokens,-0.7016375116673907,0.0
cosmos,capBTC,inflation,-0.7729017292842144,0.0
cosmos,capBTC,priceBTC,0.9999610351450096,0.0
cosmos,capBTC,totalVolumeBTC,0.5655442299469988,1.4173851203126746e-207
cosmos,priceBTC,cap,0.8520544481667729,0.0
cosmos,priceBTC,high24h,0.8564842216097118,0.0
cosmos,priceBTC,low24h,0.8393438502379598,0.0
cosmos,priceBTC,price,0.8518275809596308,0.0
cosmos,priceBTC,priceChangePercentage30D,0.5890319798970904,2.892693265498994e-229
cosmos,priceBTC,bondedTokens,-0.7836014604071573,0.0
cosmos,priceBTC,communityTokens,-0.7016325485260247,0.0
cosmos,priceBTC,inflation,-0.7729184402413877,0.0
cosmos,priceBTC,capBTC,0.9999610351450096,0.0
cosmos,priceBTC,totalVolumeBTC,0.5654380395248585,1.76041863968856e-207
cosmos,priceChangePercentage1HBTC,priceChangePercentage1H,0.695309581401814,0.0
cosmos,totalVolumeBTC,cap,0.5530518407304933,9.859383573920734e-197
cosmos,totalVolumeBTC,high24h,0.6019689166762385,5.414822100054315e-242
cosmos,totalVolumeBTC,price,0.5522356432511307,4.856417019688342e-196
cosmos,totalVolumeBTC,totalVolume,0.9584890839833838,0.0
cosmos,totalVolumeBTC,capBTC,0.5655442299469988,1.4173851203126746e-207
cosmos,totalVolumeBTC,priceBTC,0.5654380395248585,1.76041863968856e-207
juno,cap,high24h,0.9936334650972208,0.0
juno,cap,low24h,0.9938782059984207,0.0
juno,cap,price,0.9988464269466739,0.0
juno,cap,priceChangePercentage14d,0.6559465938692058,1.54494663599736e-300
juno,cap,priceChangePercentage30D,0.8308146257009567,0.0
juno,cap,priceChangePercentage7d,0.5005458234435416,4.308263296957428e-155
juno,cap,supplyCirculating,-0.9085004653937174,0.0
juno,cap,totalVolume,0.6990757374557901,0.0
juno,cap,apr,0.8846907869435139,0.0
juno,cap,bondedTokens,-0.8806552412930027,0.0
juno,cap,communityTokens,0.651145199503779,9.976329736511357e-295
juno,cap,inflation,0.9441609412691915,0.0
juno,cap,capBTC,0.9588294011978545,0.0
juno,cap,priceBTC,0.9584576290528802,0.0
juno,cap,totalVolumeBTC,0.730198240376548,0.0
juno,capChange24h,capChangeRatio24H,0.9784294870148151,0.0
juno,capChange24h,change24h,0.9858774402197277,0.0
juno,capChange24h,changeRatio24H,0.9662277907347904,0.0
juno,capChange24h,priceChangePercentage24H,0.9662277936012297,0.0
juno,capChangeRatio24H,capChange24h,0.9784294870148151,0.0
juno,capChangeRatio24H,change24h,0.9598967935254947,0.0
juno,capChangeRatio24H,changeRatio24H,0.9877983352761066,0.0
juno,capChangeRatio24H,priceChangePercentage24H,0.9877983408581302,0.0
juno,change24h,capChange24h,0.9858774402197277,0.0
juno,change24h,capChangeRatio24H,0.9598967935254947,0.0
juno,change24h,changeRatio24H,0.9731649749388157,0.0
juno,change24h,priceChangePercentage24H,0.973164971834443,0.0
juno,changeRatio24H,capChange24h,0.9662277907347904,0.0
juno,changeRatio24H,capChangeRatio24H,0.9877983352761066,0.0
juno,changeRatio24H,change24h,0.9731649749388157,0.0
juno,changeRatio24H,priceChangePercentage24H,0.9999999999996574,0.0
juno,high24h,cap,0.9936334650972208,0.0
juno,high24h,low24h,0.9947705541602048,0.0
juno,high24h,price,0.9955757329155788,0.0
juno,high24h,priceChangePercentage14d,0.6290840482180917,2.437386316228396e-269
juno,high24h,priceChangePercentage30D,0.8127651780477512,0.0
juno,high24h,supplyCirculating,-0.9279281659909708,0.0
juno,high24h,totalVolume,0.7109432488570191,0.0
juno,high24h,apr,0.903352977387044,0.0
juno,high24h,bondedTokens,-0.8990796857176413,0.0
juno,high24h,communityTokens,0.6795004293872974,0.0
juno,high24h,inflation,0.9606249042964191,0.0
juno,high24h,capBTC,0.9687359791107145,0.0
juno,high24h,priceBTC,0.9693233379957951,0.0
juno,high24h,totalVolumeBTC,0.7488050203868006,0.0
juno,low24h,cap,0.9938782059984207,0.0
juno,low24h,high24h,0.9947705541602048,0.0
juno,low24h,price,0.9946464808547707,0.0
juno,low24h,priceChangePercentage14d,0.6328821262341578,1.455620661072666e-273
juno,low24h,priceChangePercentage30D,0.8101549436201961,0.0
juno,low24h,supplyCirculating,-0.9183213371923868,0.0
juno,low24h,totalVolume,0.672365558423512,3.083e-321
juno,low24h,apr,0.8949520616618877,0.0
juno,low24h,bondedTokens,-0.8907694648014547,0.0
juno,low24h,communityTokens,0.6659050526911928,6.1918912513e-313
juno,low24h,inflation,0.9537602298828316,0.0
juno,low24h,capBTC,0.9655979270819044,0.0
juno,low24h,priceBTC,0.9656354341989651,0.0
juno,low24h,totalVolumeBTC,0.713002972499968,0.0
juno,price,cap,0.9988464269466739,0.0
juno,price,high24h,0.9955757329155788,0.0
juno,price,low24h,0.9946464808547707,0.0
juno,price,priceChangePercentage14d,0.6439281185862324,3.433585561107928e-286
juno,price,priceChangePercentage30D,0.8204320040104264,0.0
juno,price,supplyCirculating,-0.9231625066756344,0.0
juno,price,totalVolume,0.7054246271960148,0.0
juno,price,apr,0.8983122951679491,0.0
juno,price,bondedTokens,-0.8940461265658688,0.0
juno,price,communityTokens,0.672915589890956,5.93e-322
juno,price,inflation,0.9561922363316593,0.0
juno,price,capBTC,0.9669456652049775,0.0
juno,price,priceBTC,0.9673593354521972,0.0
juno,price,totalVolumeBTC,0.7400283293090105,0.0
juno,priceChangePercentage14d,cap,0.6559465938692058,1.54494663599736e-300
juno,priceChangePercentage14d,high24h,0.6290840482180917,2.437386316228396e-269
